ID,Name,Identity,Alignment,EyeColor,HairColor,Gender,Status,Appearances,FirstAppearance,Year,Universe
100001,Claude Potier (Earth-616),Secret,Neutral,Hazel,Brown,Male,Living,2,10/01/2000,2000,DC
100002,Elektra Natchios (Earth-616),Secret,Neutral,Blue,Black,Female,Living,280,01/01/1981,1981,Marvel
100003,Thomas Williams (Earth-616),Secret,Neutral,Black,,Male,Living,1,08/01/2002,2002,DC
100004,Mogul (Earth-616),,,,Bald,,Living,,05/01/1970,1970,DC
100005,Denise Havens (Earth-616),Secret,Good,Brown,Black,Female,Living,4,01/01/1995,1995,DC
100006,Aphrodite Ourania (Earth-616),Secret,Good,Blue,Blond,Female,Living,50,08/01/1948,1948,DC
100007,Jeven Ognats (Post-Zero Hour),Public,Good,Brown,Brown,Male,Living,4,"1994, October",1994,DC
100008,Fiber (Earth-616),Secret,Neutral,Brown,Brown,Male,Living,1,,,Marvel
100009,Tranta (Earth-616),,Good,,No,,Living,,09/01/1991,1991,Marvel
100010,Snaggi (Earth-616),No Dual,Bad,Yellow,Black,Female,Living,2,,,DC
100011,Hunter Stein (Earth-616),Public,Bad,Blue,Blond,Male,Living,4,08/01/2009,2009,DC
100012,Paragon (A.I.M.) (Earth-616),,,,,Male,Living,1,04/01/1994,1994,Marvel
100013,Clifford Townsend (Earth-616),Public,,Brown,Black,Male,Deceased,4,05/01/2002,2002,Marvel
100014,Oya (Santerians) (Earth-616),Secret,Good,Brown,White,Female,Living,4,10/01/2005,2005,Marvel
100015,James Ilse (Earth-616),Public,Bad,,White,Male,Deceased,4,09/01/1946,1946,Marvel
100016,Hardball (Imperial Guard) (Earth-616),Secret,Neutral,Black,No,Male,Living,4,03/01/1992,1992,Marvel
100017,Valeria Toomes (Earth-616),No Dual,,Brown,Red,Female,Living,4,08/01/2004,2004,Marvel
100018,Rimi Withnail (Earth-616),Public,Neutral,Green,Red,Female,Living,1,05/01/2003,2003,DC
100019,Michelle Carter (New Earth),Secret,Good,Blue,Blond,Female,Living,32,"1986, July",1986,DC
100020,Ms Fortune (Earth-616),Secret,Bad,,,Female,Living,2,04/01/2000,2000,DC
